FixationScreen	ROJitter1	MakeChoice1	Outcome
50215	-	-	-
50465	-	-	-
50682	-	-	-
50898	-	-	-
51115	-	-	-
51332	-	-	-
51548	-	-	-
51782	-	-	-
51998	-	-	-
52215	-	-	-
52432	-	-	-
52649	-	-	-
52865	-	-	-
53082	-	-	-
53315	-	-	-
-	66017	-	-
-	-	53532	Inflated
-	69901	-	-
-	-	68684	Inflated
-	73784	-	-
-	-	72568	Inflated
-	77651	-	-
-	-	75451	Won
53315	-	-	-
-	84186	-	-
-	-	82819	Inflated
-	93103	-	-
-	-	91870	Inflated
-	101621	-	-
-	-	99771	Inflated
-	108688	-	-
-	-	105271	Inflated
-	116039	-	-
-	-	114356	Won
53315	-	-	-
-	123223	-	-
-	-	120223	Inflated
-	132608	-	-
-	-	127874	Exploded
53315	-	-	-
-	146276	-	-
-	-	140292	Inflated
-	153510	-	-
-	-	148943	Inflated
-	164878	-	-
-	-	155194	Inflated
-	171712	-	-
-	-	167045	Inflated
-	175063	-	-
-	-	173396	Won
53315	-	-	-
-	182930	-	-
-	-	180247	Inflated
-	192448	-	-
-	-	187581	Inflated
-	203316	-	-
-	-	196615	Inflated
-	207150	-	-
-	-	205000	Inflated
-	211400	-	-
-	-	209317	Won
53315	-	-	-
-	215684	-	-
-	-	214584	Inflated
-	218918	-	-
-	-	217868	Inflated
-	226069	-	-
-	-	221585	Inflated
-	233003	-	-
-	-	230236	Inflated
-	240171	-	-
-	-	234670	Inflated
-	242954	-	-
-	-	241854	Won
53315	-	-	-
-	248972	-	-
-	-	248121	Inflated
-	255322	-	-
-	-	253122	Inflated
-	263307	-	-
-	-	259473	Inflated
-	268507	-	-
-	-	264973	Inflated
-	273741	-	-
-	-	270191	Inflated
-	284859	-	-
-	-	279892	Exploded
53315	-	-	-
-	297394	-	-
-	-	293543	Inflated
-	301044	-	-
-	-	299061	Inflated
-	315563	-	-
-	-	308695	Inflated
-	326547	-	-
-	-	319213	Inflated
-	337849	-	-
-	-	331198	Inflated
-	342066	-	-
-	-	339516	Won
53315	-	-	-
-	353284	-	-
-	-	346250	Inflated
-	365302	-	-
-	-	359451	Inflated
-	374603	-	-
-	-	367986	Inflated
-	381937	-	-
-	-	377270	Inflated
-	388971	-	-
-	-	384121	Won
53315	-	-	-
-	397422	-	-
-	-	394139	Inflated
-	401106	-	-
-	-	399089	Inflated
-	406640	-	-
-	-	402790	Inflated
-	419358	-	-
-	-	411307	Inflated
-	424509	-	-
-	-	422042	Won
53315	-	-	-
-	431010	-	-
-	-	428693	Inflated
-	441528	-	-
-	-	436660	Inflated
-	448712	-	-
-	-	444195	Inflated
-	453879	-	-
-	-	451429	Inflated
-	457829	-	-
-	-	455546	Won
53315	-	-	-
-	467897	-	-
-	-	461030	Inflated
-	476332	-	-
-	-	474581	Inflated
-	484133	-	-
-	-	477999	Inflated
-	489350	-	-
-	-	486316	Inflated
-	493117	-	-
-	-	491533	Inflated
-	495934	-	-
-	-	494800	Won
53315	-	-	-
-	501968	-	-
-	-	499101	Inflated
-	507469	-	-
-	-	505652	Inflated
-	514819	-	-
-	-	509136	Inflated
-	524037	-	-
-	-	518487	Inflated
-	529938	-	-
-	-	525721	Inflated
-	533905	-	-
-	-	532605	Won
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
53315	-	-	-
