estimulo;codigo;tiempo estimulo;tiempo respuesta;reaction time;accuracy
fandar;nWabs;1896.057825;1896.840343;0.782518;1
elzar;nWman;1898.657654;1899.384381;0.726727;1
dudar;Wabs;1901.457687;1902.008101;0.550414;1
tragar;Wnman;1904.491034;1905.263895;0.772861;1
dasfilar;nWnman;1907.757748;1908.673103;0.915354;1
reclinar;Wnman;1910.357805;1911.335590;0.977784;1
velar;Wabs;1913.824493;1914.679419;0.854926;1
zarcir;nWman;1917.157922;1917.839220;0.681298;1
vencer;Wabs;1919.857906;1920.767190;0.909284;1
conducir;Wnman;1923.091335;1924.022897;0.931562;1
reinar;Wabs;1925.691368;1926.518752;0.827384;1
sellar;Wman;1928.458098;1929.342622;0.884524;1
zapatear;Wnman;1931.791411;1932.550427;0.759016;1
somar;nWabs;1934.858134;1935.766259;0.908125;1
notar;Wabs;1938.241557;1939.070084;0.828527;1
taconear;Wnman;1941.241576;1942.382099;1.140523;0
onhelar;nWabs;1943.941634;1945.085780;1.144147;1
trancar;nWnman;1947.458360;1948.725574;1.267215;0
existir;Wabs;1951.191708;1951.909417;0.717709;1
jezgar;nWabs;1954.125101;1955.149242;1.024141;1
rubanar;nWman;1957.425113;1958.677036;1.251923;1
adentir;nWnman;1960.941849;1962.164858;1.223009;1
roinar;nWabs;1964.075234;1964.700724;0.625490;0
cropezar;nWnman;1966.875275;1964.700724;0.625490;0
batear;Wman;1971.242015;1972.628325;1.386310;1
docir;nWnman;1974.858727;1975.596150;0.737423;1
decaer;Wabs;1977.158756;1978.124070;0.965314;1
tomar;Wman;1979.925459;1980.715825;0.790366;1
firmar;Wman;1982.292164;1983.723711;1.431547;1
remover;Wman;1985.358876;1986.571606;1.212730;1
tapar;Wman;1988.908915;1990.043530;1.134615;0
lucir;Wabs;1992.275672;1993.003215;0.727543;1
calear;nWnman;1994.842332;1995.875259;1.032927;1
bamear;nWman;1998.359069;1999.066852;0.707783;1
ognorar;nWabs;2000.625748;2001.306739;0.680990;1
medir;Wman;2003.275802;2003.922826;0.647024;1
palir;nWnman;2005.825882;2006.538494;0.712612;1
vozar;nWabs;2008.825930;2009.434361;0.608431;1
monfiar;nWabs;2011.759267;2012.426176;0.666908;1
lesear;nWabs;2014.142627;2014.810017;0.667390;1
aplaudir;Wman;2016.826012;2017.474112;0.648100;1
valer;Wabs;2019.459417;2020.249844;0.790427;0
regresar;Wnman;2022.426059;2023.537570;1.111512;1
exigir;Wabs;2025.759479;2026.433429;0.673950;1
sugoner;nWabs;2028.709495;2030.465195;1.755700;1
reciar;nWman;2032.259574;2033.777015;1.517442;1
zurcir;Wman;2035.992925;2036.968855;0.975930;0
gozar;Wabs;2039.142995;2039.952698;0.809703;1
secidir;nWabs;2041.643007;2042.712731;1.069725;1
llamar;Wnman;2044.359730;2045.040442;0.680712;1
croteger;nWabs;2047.059770;2048.112511;1.052741;1
tudar;nWabs;2050.593167;2051.448130;0.854963;1
coser;Wman;2053.309892;2054.103969;0.794077;1
pugar;nWman;2056.209922;2056.847782;0.637860;1
polgar;nWman;2058.593262;2059.231653;0.638391;1
moner;nWman;2061.509987;2062.199544;0.689557;1
horedar;nWabs;2063.976723;2065.119321;1.142598;1
milar;nWman;2067.143430;2067.775212;0.631782;1
poner;Wman;2070.010099;2070.791064;0.780965;1
emuctar;nWnman;2073.210160;2073.878900;0.668741;1
subrayar;Wman;2076.360239;2077.166720;0.806481;1
heredar;Wabs;2079.243583;2080.270777;1.027194;0
fundar;Wabs;2081.926937;2083.294437;1.367500;1
pulir;Wman;2084.977007;2086.358212;1.381205;1
lenir;nWnman;2088.143696;2089.062257;0.918561;1
venir;Wnman;2091.427094;2092.413902;0.986808;0
enigir;nWabs;2094.193802;2095.037744;0.843942;1
valorar;Wabs;2097.377227;2098.861520;1.484293;0
ignorar;Wabs;2100.627214;2102.261354;1.634140;1
desear;Wabs;2104.727287;2106.381204;1.653917;1
lotar;nWabs;2108.260678;2109.445117;1.184439;1
sentir;Wabs;2111.177415;2112.516818;1.339403;1
obrir;nWman;2114.294118;2114.988670;0.694552;1
acudir;Wnman;2117.127520;2117.820545;0.693026;1
pividir;nWabs;2119.810829;2120.932336;1.121507;1
cherriar;nWnman;2122.810928;2123.740256;0.929328;1
llabar;nWnman;2126.094304;2126.868047;0.773743;1
taladrar;Wman;2128.977651;2130.195833;1.218183;1
desfilar;Wnman;2132.277679;2133.099673;0.821994;0
vetar;Wabs;2135.544410;2136.763502;1.219092;1
juzgar;Wabs;2138.577771;2139.915449;1.337678;1
remaver;nWman;2142.194552;2142.979201;0.784649;1
abanicar;Wman;2145.261209;2146.171233;0.910024;0
querer;Wabs;2148.077931;2149.170866;1.092935;1
rosgar;nWman;2151.261312;2152.138713;0.877401;1
tupar;nWman;2153.728020;2154.450571;0.722550;1
tetar;nWabs;2156.028036;2156.914695;0.886659;1
sorear;nWnman;2158.978100;2159.770287;0.792186;1
rasgar;Wman;2162.078142;2163.138092;1.059950;0
triunfar;Wabs;2165.594852;2166.337925;0.743073;1
maer;nWnman;2167.994860;2169.273769;1.278909;1
entender;Wabs;2171.361622;2172.025634;0.664011;1
aspirar;Wnman;2174.011626;2174.801469;0.789842;1
traer;Wnman;2176.345007;2177.305639;0.960632;1
enjuagar;Wnman;2179.161777;2180.073201;0.911424;1
abar;nWabs;2181.761793;2182.417618;0.655825;1
pragar;nWnman;2184.728466;2185.440871;0.712405;0
dividir;Wabs;2187.278541;2188.024770;0.746229;1
fomar;nWnman;2190.078568;2190.960606;0.882038;1
confiar;Wabs;2192.661914;2194.000443;1.338529;1
lensar;nWman;2196.128637;2197.952220;1.823583;0
ticar;nWman;2199.745346;2200.488099;0.742754;1
zupatear;nWnman;2202.662045;2203.327930;0.665885;1
ungir;Wman;2205.545480;2207.119747;1.574267;1
consumir;Wnman;2209.395477;2210.167584;0.772107;1
firgar;nWman;2212.145579;2212.903455;0.757876;1
pegar;Wman;2214.512220;2215.431297;0.919077;1
guerer;nWabs;2217.195651;2218.375123;1.179472;0
derminar;nWabs;2220.812306;2221.654947;0.842641;1
ospirar;nWnman;2223.329069;2224.070861;0.741792;1
coldar;nWman;2226.412394;2227.086711;0.674317;1
mornar;nWnman;2229.145788;2229.710537;0.564749;1
soldar;Wman;2232.245835;2233.110378;0.864542;1
ledantar;nWman;2234.729194;2235.414275;0.685082;1
;;;;;
