+,Ahora,no,cortarás,la,leña.,Ahora no cortarás la leña.,b,l
+,Ahora,no,cortarás,la,manzana.,Ahora no cortarás la manzana.,b,l
+,Ahora,no,cortarás,un,clavel.,Ahora sí cortarás un clavel.,v,l
+,Ahora,no,cortarás,el,bizcochón.,-,-,l
+,Ahora,no,cortarás,el,queso.,-,-,l
+,Ahora,no,cortarás,la ,tortilla.,-,-,l
+,Ahora,no,cortarás,el,pepino.,-,-,l
+,Ahora,no,cortarás,la,cartulina.,-,-,l
+,Ahora,no,cortarás,el,pimiento.,-,-,l
+,Ahora,no,doblarás,el,edredón.,Ahora no doblarás el edredón.,b,l
+,Ahora,no,doblarás,el ,papel.,Ahora no tirarás el  papel.,v,l
+,Ahora,no,doblarás,la ,colcha.,Ahora no doblarás la manta.,v,l
+,Ahora,no,doblarás,el,paño.,-,-,l
+,Ahora,no,doblarás,el,chaleco.,-,-,l
+,Ahora,no,doblarás,el,suéter.,-,-,l
+,Ahora,no,doblarás,la,rebeca.,-,-,l
+,Ahora,no,doblarás,la,toalla.,-,-,l
+,Ahora,no,limpiarás,las,botas.,Ahora no limpiarás las botas.,b,l
+,Ahora,no,limpiarás,la,repisa.,Ahora sí limpiarás la repisa.,v,l
+,Ahora,no,limpiarás,la,azotea.,Ahora no pintarás la azotea.,v,l
+,Ahora,no,limpiarás,la,bañera.,-,-,l
+,Ahora,no,limpiarás,el,cuchillo.,-,-,l
+,Ahora,no,limpiarás,la,persiana.,-,-,l
+,Ahora,no,limpiarás,el,mueble.,-,-,l
+,Ahora,no,limpiarás,el,balcón.,-,-,l
+,Ahora,no,limpiarás,las,gafas.,-,-,l
+,Ahora,no,pelarás,el,aguacate.,Ahora no pelarás el aguacate.,b,l
+,Ahora,no,pelarás,el,plátano.,Ahora no pelarás el plátano.,b,l
+,Ahora,no,pelarás,la,cebolla.,Ahora no pelarás la calabaza.,v,l
+,Ahora,no,pelarás,los ,cacahuetes.,-,-,l
+,Ahora,no,pelarás,la,naranja.,-,-,l
+,Ahora,no,pelarás,la,papaya.,-,-,l
+,Ahora,no,pelarás,las,papas.,-,-,l
+,Ahora,no,pelarás,las,castañas.,-,-,l
+,Ahora,no,plancharás,la,sábana.,Ahora no plancharás la sábana.,b,l
+,Ahora,no,plancharás,el,pantalón.,Ahora sí plancharás el pantalón.,v,l
+,Ahora,no,plancharás,el,traje.,Ahora no colgarás el traje.,v,l
+,Ahora,no,plancharás,la,blusa.,-,-,l
+,Ahora,no,plancharás,el,mantel.,-,-,l
+,Ahora,no,plancharás,la,corbata.,-,-,l
+,Ahora,no,plancharás,la,falda.,-,-,l
+,Ahora,no,plancharás,el,vestido.,-,-,l
+,Ahora,no,plancharás,las,servilletas.,-,-,l
+,Ahora,no,regarás,el,jardín.,Ahora no regarás el jardín.,b,l
+,Ahora,no,regarás,el,geranio.,Ahora no regarás el geranio.,b,l
+,Ahora,no,regarás,el,césped.,Ahora no regarás el cultivo.,v,l
+,Ahora,no,regarás,la,enredadera.,-,-,l
+,Ahora,no,regarás,las,flores.,-,-,l
+,Ahora,no,regarás,la,violeta.,-,-,l
+,Ahora,no,servirás,el,postre.,Ahora no servirás el postre.,b,l
+,Ahora,no,servirás,el,flan.,Ahora no servirás el flan.,b,l
+,Ahora,no,servirás,la,ensalada.,Ahora sí servirás la ensalada.,v,l
+,Ahora,no,servirás,la,sidra.,Ahora no guardarás la sidra.,v,l
+,Ahora,no,servirás,la,leche.,-,-,l
+,Ahora,no,servirás,la,empanada.,-,-,l
+,Ahora,no,servirás,el,zumo.,-,-,l
+,Ahora,no,servirás,el,jamón.,-,-,l
+,Ahora,no,servirás,la,tarta.,-,-,l
+,Ahora,sí,abrirás,el,paraguas.,Ahora sí abrirás el paraguas.,b,l
+,Ahora,sí,abrirás,el,abanico.,Ahora sí abrirás el abanico.,b,l
+,Ahora,sí,abrirás,el,horno.,Ahora sí abrirás el buzón.,v,l
+,Ahora,sí,abrirás,el,grifo.,-,-,l
+,Ahora,sí,abrirás,el,vino.,-,-,l
+,Ahora,sí,abrirás,la,lata.,-,-,l
+,Ahora,sí,abrirás,la,botella.,-,-,l
+,Ahora,sí,abrirás,la,jaula.,-,-,l
+,Ahora,sí,abrirás,el,champán.,-,-,l
+,Ahora,sí,cerrarás,el ,tarro.,Ahora sí cerrarás el  tarro.,b,l
+,Ahora,sí,cerrarás,el,maletero.,Ahora no cerrarás el maletero.,v,l
+,Ahora,sí,cerrarás,el,sobre.,Ahora sí romperás el sobre.,v,l
+,Ahora,sí,cerrarás,la,guantera.,-,-,l
+,Ahora,sí,cerrarás,la,fiambrera.,-,-,l
+,Ahora,sí,cerrarás,el,cofre.,-,-,l
+,Ahora,sí,cerrarás,el,armario.,-,-,l
+,Ahora,sí,cerrarás,el,candado.,-,-,l
+,Ahora,sí,cerrarás,la,cancela.,-,-,l
+,Ahora,sí,copiarás,el,resumen.,Ahora sí copiarás el resumen.,b,l
+,Ahora,sí,copiarás,la,carta.,Ahora sí copiarás la carta.,b,l
+,Ahora,sí,copiarás,la,redacción.,Ahora sí copiarás la figura.,v,l
+,Ahora,sí,copiarás,la,postal.,-,-,l
+,Ahora,sí,copiarás,la,frase.,-,-,l
+,Ahora,sí,copiarás,el,documento.,-,-,l
+,Ahora,sí,copiarás,el,informe.,-,-,l
+,Ahora,sí,copiarás,el,dibujo.,-,-,l
+,Ahora,sí,copiarás,el,email.,-,-,l
+,Ahora,sí,guardarás,el,pergamino.,Ahora sí guardarás el pergamino.,b,l
+,Ahora,sí,guardarás,la,tarjeta.,Ahora sí guardarás la tarjeta.,b,l
+,Ahora,sí,guardarás,el,título.,Ahora no guardarás el título.,v,l
+,Ahora,sí,guardarás,el,anillo.,-,-,l
+,Ahora,sí,guardarás,los,mocasines.,-,-,l
+,Ahora,sí,guardarás,el,puzzle.,-,-,l
+,Ahora,sí,guardarás,el,cargador.,-,-,l
+,Ahora,sí,guardarás,el,regalo.,-,-,l
+,Ahora,sí,guardarás,la,baraja.,-,-,l
+,Ahora,sí,apretarás,la,plastilina.,Ahora sí apretarás la plastilina.,b,l
+,Ahora,sí,apretarás,la,esponja.,Ahora sí apretarás la esponja.,b,l
+,Ahora,sí,apretarás,el,tornillo.,Ahora sí tirarás el tornillo.,v,l
+,Ahora,sí,apretarás,el,esparto.,Ahora sí apretarás el acelerador.,v,l
+,Ahora,sí,apretarás,la,tuerca.,-,-,l
+,Ahora,sí,apretarás,el,barro.,-,-,l
+,Ahora,sí,apretarás,la,tecla.,-,-,l
+,Ahora,sí,apretarás,las,esposas.,-,-,l
+,Ahora,sí,apretarás,el,nudo.,-,-,l
+,Ahora,sí,agarrarás,el,bolígrafo.,Ahora sí agarrarás el bolígrafo.,b,l
+,Ahora,sí,agarrarás,un,clínex.,Ahora sí agarrarás un clínex.,b,l
+,Ahora,sí,agarrarás,la,brocha.,Ahora no agarrarás la brocha.,v,l
+,Ahora,sí,agarrarás,la,rosa.,Ahora sí tirarás la rosa.,v,l
+,Ahora,sí,agarrarás,el,bocadillo.,-,-,l
+,Ahora,sí,agarrarás,el,martillo.,-,-,l
+,Ahora,sí,agarrarás,las,uvas.,-,-,l
+,Ahora,sí,agarrarás,el,flotador.,-,-,l
+,Ahora,sí,agarrarás,las,llaves.,-,-,l
+,Ahora,sí,atarás,los ,zapatos.,Ahora sí atarás los  zapatos.,b,l
+,Ahora,sí,atarás,el,perro.,Ahora sí atarás el barco.,v,l
+,Ahora,sí,atarás,las,sandalias.,-,-,l
+,Ahora,sí,atarás,los ,cordones.,-,-,l
+,Ahora,no,cortarás,el,pan.,Ahora no cortarás el pan.,b,b
+,Ahora,no,cortarás,el,pastel.,Ahora sí cortarás el pastel.,v,b
+,Ahora,no,cortarás,el,tomate.,-,-,b
+,Ahora,no,cortarás,la,lechuga.,-,-,b
+,Ahora,no,cortarás,la,cinta.,-,-,b
+,Ahora,no,doblarás,los,calcetines.,Ahora no doblarás los calcetines.,b,b
+,Ahora,no,doblarás,el ,folio.,-,-,b
+,Ahora,no,doblarás,el,billete.,-,-,b
+,Ahora,no,limpiarás,la,baranda.,Ahora no limpiarás la baranda.,b,b
+,Ahora,no,limpiarás,el,espejo.,-,-,b
+,Ahora,no,limpiarás,las,copas.,-,-,b
+,Ahora,no,pelarás,los ,ajos.,Ahora no venderás los ajos.,v,b
+,Ahora,no,pelarás,la,pera.,-,-,b
+,Ahora,no,pelarás,la,mandarina.,-,-,b
+,Ahora,no,plancharás,las,bermudas.,Ahora no plancharás las bermudas.,b,b
+,Ahora,no,plancharás,el,pañuelo.,Ahora no plancharás el albornoz.,v,b
