+,Ahora,sí,saltarás,la,valla.,Ahora sí saltarás la valla.,b,l
+,Ahora,sí,barrerás,la,cancha.,Ahora no barrerás la cancha.,v,l
+,Ahora,sí,cortarás,la,pizza.,-,-,l
+,Ahora,sí,lanzarás,la ,pértiga.,-,-,l
+,Ahora,sí,prenderás,el ,mechero.,-,-,l
+,Ahora,no,guardarás,el,afilador.,Ahora no guardarás el afilador.,b,l
+,Ahora,no,saltarás,el,muro.,Ahora no golpearás el muro.,v,l
+,Ahora,no,inflarás,el,neumático.,-,-,l
+,Ahora,no,tocarás,la,campana.,-,-,l
+,Ahora,no,soplarás,la,vela.,-,-,l
+,Ahora,no,limpiarás,los,cristales.,-,-,l
+,Ahora,sí,lavarás,el,coche.,Ahora sí lavarás el coche.,b,b
+,Ahora,sí,comprarás,la,bicicleta.,-,-,b
+,Ahora,sí,pelarás,el,melón.,-,-,b
+,Ahora,no,beberás,una,cerveza.,Ahora no beberás una infusión.,v,b
+,Ahora,no,copiarás,el,recado.,-,-,b
