+,Ahora,sí,cortarás,la,leña.,Ahora sí cortarás la leña.,v,l
+,Ahora,sí,cortarás,la,manzana.,Ahora sí cortarás la manzana.,v,l
+,Ahora,sí,cortarás,un,clavel.,Ahora no cortarás un clavel.,b,l
+,Ahora,sí,cortarás,el,bizcochón.,-,-,l
+,Ahora,sí,cortarás,el,queso.,-,-,l
+,Ahora,sí,cortarás,la ,tortilla.,-,-,l
+,Ahora,sí,cortarás,el,pepino.,-,-,l
+,Ahora,sí,cortarás,la,cartulina.,-,-,l
+,Ahora,sí,cortarás,el,pimiento.,-,-,l
+,Ahora,sí,doblarás,el,edredón.,Ahora sí doblarás el edredón.,v,l
+,Ahora,sí,doblarás,el ,papel.,Ahora sí tirarás el  papel.,b,l
+,Ahora,sí,doblarás,la ,colcha.,Ahora sí doblarás la manta.,b,l
+,Ahora,sí,doblarás,el,paño.,-,-,l
+,Ahora,sí,doblarás,el,chaleco.,-,-,l
+,Ahora,sí,doblarás,el,suéter.,-,-,l
+,Ahora,sí,doblarás,la,rebeca.,-,-,l
+,Ahora,sí,doblarás,la,toalla.,-,-,l
+,Ahora,sí,limpiarás,las,botas.,Ahora sí limpiarás las botas.,v,l
+,Ahora,sí,limpiarás,la,repisa.,Ahora no limpiarás la repisa.,b,l
+,Ahora,sí,limpiarás,la,azotea.,Ahora sí pintarás la azotea.,b,l
+,Ahora,sí,limpiarás,la,bañera.,-,-,l
+,Ahora,sí,limpiarás,el,cuchillo.,-,-,l
+,Ahora,sí,limpiarás,la,persiana.,-,-,l
+,Ahora,sí,limpiarás,el,mueble.,-,-,l
+,Ahora,sí,limpiarás,el,balcón.,-,-,l
+,Ahora,sí,limpiarás,las,gafas.,-,-,l
+,Ahora,sí,pelarás,el,aguacate.,Ahora sí pelarás el aguacate.,v,l
+,Ahora,sí,pelarás,el,plátano.,Ahora sí pelarás el plátano.,v,l
+,Ahora,sí,pelarás,la,cebolla.,Ahora sí pelarás la calabaza.,b,l
+,Ahora,sí,pelarás,los ,cacahuetes.,-,-,l
+,Ahora,sí,pelarás,la,naranja.,-,-,l
+,Ahora,sí,pelarás,la,papaya.,-,-,l
+,Ahora,sí,pelarás,las,papas.,-,-,l
+,Ahora,sí,pelarás,las,castañas.,-,-,l
+,Ahora,sí,plancharás,la,sábana.,Ahora sí plancharás la sábana.,v,l
+,Ahora,sí,plancharás,el,pantalón.,Ahora no plancharás el pantalón.,b,l
+,Ahora,sí,plancharás,el,traje.,Ahora sí colgarás el traje.,b,l
+,Ahora,sí,plancharás,la,blusa.,-,-,l
+,Ahora,sí,plancharás,el,mantel.,-,-,l
+,Ahora,sí,plancharás,la,corbata.,-,-,l
+,Ahora,sí,plancharás,la,falda.,-,-,l
+,Ahora,sí,plancharás,el,vestido.,-,-,l
+,Ahora,sí,plancharás,las,servilletas.,-,-,l
+,Ahora,sí,regarás,el,jardín.,Ahora sí regarás el jardín.,v,l
+,Ahora,sí,regarás,el,geranio.,Ahora sí regarás el geranio.,v,l
+,Ahora,sí,regarás,el,césped.,Ahora sí regarás el cultivo.,b,l
+,Ahora,sí,regarás,la,enredadera.,-,-,l
+,Ahora,sí,regarás,las,flores.,-,-,l
+,Ahora,sí,regarás,la,violeta.,-,-,l
+,Ahora,sí,servirás,el,postre.,Ahora sí servirás el postre.,v,l
+,Ahora,sí,servirás,el,flan.,Ahora sí servirás el flan.,v,l
+,Ahora,sí,servirás,la,ensalada.,Ahora no servirás la ensalada.,b,l
+,Ahora,sí,servirás,la,sidra.,Ahora sí guardarás la sidra.,b,l
+,Ahora,sí,servirás,la,leche.,-,-,l
+,Ahora,sí,servirás,la,empanada.,-,-,l
+,Ahora,sí,servirás,el,zumo.,-,-,l
+,Ahora,sí,servirás,el,jamón.,-,-,l
+,Ahora,sí,servirás,la,tarta.,-,-,l
+,Ahora,no,abrirás,el,paraguas.,Ahora no abrirás el paraguas.,v,l
+,Ahora,no,abrirás,el,abanico.,Ahora no abrirás el abanico.,v,l
+,Ahora,no,abrirás,el,horno.,Ahora no abrirás el buzón.,b,l
+,Ahora,no,abrirás,el,grifo.,-,-,l
+,Ahora,no,abrirás,el,vino.,-,-,l
+,Ahora,no,abrirás,la,lata.,-,-,l
+,Ahora,no,abrirás,la,botella.,-,-,l
+,Ahora,no,abrirás,la,jaula.,-,-,l
+,Ahora,no,abrirás,el,champán.,-,-,l
+,Ahora,no,cerrarás,el ,tarro.,Ahora no cerrarás el  tarro.,v,l
+,Ahora,no,cerrarás,el,maletero.,Ahora sí cerrarás el maletero.,b,l
