dormir,Acc_baja_incorr,No,LEER
nadar,Acc_alta_incorr,No,PINCHAR
pintar,Acc_alta_incorr,No,SILBAR
gotear,Acc_baja_corr,Si,
caminar,Acc_alta_corr,Si,
rezar,Acc_baja_incorr,No,CAVAR
pellizcar,Acc_baja_corr,Si,
comer,Acc_alta_incorr,No,LAVAR
pesarse,Acc_baja_incorr,No,ESCALAR
bailar,Acc_alta_corr,Si,
señalar,Acc_baja_incorr,No,PEINAR
arrollidarse,Acc_baja_incorr,No,NADAR
sonreir,Acc_baja_corr,Si,
deslizarse,Acc_alta_incorr,No,DORMIR
escribir,Acc_alta_incorr,No,CORTAR
besar,Acc_baja_incorr,No,FROTAR
cortar,Acc_alta_corr,Si,
cavar,Acc_alta_incorr,No,AMASAR
correr,Acc_alta_corr,Si,
bostezar,Acc_baja_corr,Si,
tejer,Acc_alta_incorr,No,MARTILLAR
columpiarse,Acc_alta_incorr,No,FIRMAR
jugar,Acc_alta_corr,Si,
doblar,Acc_alta_incorr,No,MORDER
fumar,Acc_baja_incorr,No,CORRER
cocinar,Acc_alta_corr,Si,
marchar,Acc_alta_corr,Si,
sentarse,Acc_baja_incorr,No,SALTAR
pedir,Acc_baja_incorr,No,ROMPER
taladrar,Acc_alta_corr,Si,
llorar,Acc_baja_corr,Si,
patinar,Acc_alta_corr,Si,
recostarse,Acc_baja_incorr,No,PINTAR
pescar,Acc_baja_corr,Si,
empujar,Acc_alta_corr,Si,
sangrar,Acc_baja_corr,Si,
saltar,Acc_alta_incorr,No,CORRER
flotar,Acc_baja_corr,Si,
tocar,Acc_baja_corr,Si,
leer,Acc_baja_corr,Si,
