screenOffer	tiempo de respuesta	respuesta	historial saldo	tiempo espera	resultado	tiempo resultado
[32463, [], [], [100], 35326, False, 37693]
[38694, [39274], ['decremento'], [100, 90], 39593, False, 41304]
[42305, [42708, 42933, 43135], ['decremento', 'decremento', 'decremento'], [100, 90, 80, 70], 43445, False, 46969]
[47970, [48479, 48700, 48929, 49135], ['decremento', 'decremento', 'decremento', 'decremento'], [100, 90, 80, 70, 60], 49375, True, 51011]
[52012, [], [], [100], 52484, False, 54681]
[55682, [], [], [100], 56110, False, 57964]
[58965, [], [], [100], 59651, False, 61902]
[62903, [], [], [100], 63590, False, 65536]
[66537, [], [], [100], 67002, True, 69797]
[70798, [], [], [100], 71335, False, 74356]
[75357, [], [], [100], 75845, False, 77161]
[78162, [], [], [100], 78817, False, 80710]
[81711, [], [], [100], 82337, False, 85606]
[86607, [], [], [100], 87290, False, 89884]
[90885, [], [], [100], 91401, True, 94500]
[95501, [], [], [100], 96004, True, 97700]
[98701, [], [], [100], 99221, False, 101890]
[102891, [], [], [100], 103480, False, 105022]
[106023, [], [], [100], 106626, False, 109346]
[110347, [], [], [100], 110822, False, 112833]
[139875, [], [], [100], 140858, False, 144445]
[145446, [], [], [100], 146050, False, 147658]
[148659, [], [], [100], 149108, False, 151941]
[152942, [], [], [100], 153393, False, 154753]
[155754, [], [], [100], 156286, False, 157398]
[158399, [], [], [100], 158811, True, 161220]
[162221, [], [], [100], 162774, False, 165409]
[166410, [], [], [100], 166945, False, 170042]
[171043, [], [], [100], 171572, False, 174873]
[175874, [], [], [100], 176472, True, 178261]
[179262, [], [], [100], 179879, False, 182848]
[183849, [], [], [100], 184289, True, 185881]
[186882, [], [], [100], 187437, True, 188460]
[189461, [], [], [100], 190172, False, 192875]
[193876, [], [], [100], 194257, False, 195413]
[196414, [], [], [100], 196865, False, 198078]
[199079, [], [], [100], 199526, False, 203504]
[204505, [], [], [100], 204917, False, 206843]
[207844, [], [], [100], 208308, False, 210242]
[211243, [], [], [100], 211751, False, 213015]
